"PageURL-vinted";"GrabDateTime";"post_title";"post_content";"_regular_price";"_etat";"_isbn";"_h1";"_author";"categorie";"images";"_favoris";"_date_dajout";"stock_quantity";"langue"
"https://www.vinted.fr/items/6676605725";"14/07/2025 12:04:36";"Lot de 2 BDs "Le Marsupilami" Tomes 4-5 - A. Franquin";"- Tome 4 : Le pollen du Monte Urticano- Tome 5 : Baby Prinz  NC";"9,87€";"Bon état";"9782808511797";"Marsupilami - Tome 27 - Coeur d'étoile";"Colman";"Bandes dessinées";"";"";"Il y a 18 heures";"1";"FR"
"https://www.vinted.fr/items/6676557673";"14/07/2025 12:04:38";"Marsupilami Tome 5 - Baby PrinzAndré Franquin";"Résumé : À chiquito rien ne va plus. le dictateur actuel baby printz vient de perdre le pouvoir et doit fuir la population qui menace de le tuer. et il ne manquait plus qu'un vieux marsupilami gardé captif dans le zoo depuis la nuit des temps semble sur le point de mourir car il refuse de manger. le marsupilami aidé par bip et sarah tentera alors de sauver le marsupilami malade...f 14";"5,77€";"Bon état";"9782908462135";"BABY PRINZ";"FRANQUIN";"Bandes dessinées";"";"";"Il y a 18 heures";"1";"FR"
"https://www.vinted.fr/items/6676494548";"14/07/2025 12:04:41";"Le Marsupilami, tome 4 - Le Pollen du Monte UrticandoAndré Franquin";"f 19";"5,77€";"Bon état";"9782950221148";"Le Marsupilami, tome 4 : Le Pollen du Monte Urticando";"Yann";"Bandes dessinées";"";"";"Il y a 18 heures";"1";"FR"
"https://www.vinted.fr/items/6676374858";"14/07/2025 12:04:53";"Lot de 3 BDs " Valérian " - J.C. Mézières";"- La cité des eaux mouvantes - Bienvenue sur Alflolol- Métro Chatelet direction Cassiopée  NC";"19,87€";"Bon état";"9782205076035";"Valérian - Intégrales - Tome 1 - Valérian Intégrale - tome 1";"Christin Pierre";"Bandes dessinées";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6676238567";"14/07/2025 12:04:55";"Cite des eaux mouvantes (La)Jean-Claude Mézières";"M 23";"5,77€";"Bon état";"9782205004571";"La cité des eaux mouvantes (Valérian, agent spatio-temporel) (French Edition)";"J.-C Mézières";"Bandes dessinées";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6676144221";"14/07/2025 12:04:58";"Lot de 3 BDs "Les Schtroumpfs" - Peyo";"- L'apprenti Schtroumpf- Histoires de Schtroumpfs - Schtroumpfs (120 blagues) tome 1 NC";"25,47€";"Bon état";"9782808214957";"";"";"Bandes dessinées";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6676082906";"14/07/2025 12:05:09";"Schtroumpfs (120 Blagues) Tome 1Peyo";"Résumé : Peyo CréationsVous êtes-vous déjà demandé ce qu'il se passait dans le village des Schtroumpfs entre deux grandes aventures ? Ici, point de Gargamel ou d'Homnibus, juste des petites tranches de vie servies en plus de 120 strips inédits en album. Un format auquel les lutins de Peyo nous ont peu habitués mais qui leur sied à merveille. Running gags, chutes absurdes ou ironiques, guest-stars prestigieuses au détour des cases : cet album résolument jubilatoire est un cours magistral en la matière.A lire absolument !M 10";"5,77€";"Très bon état";"9782803623266";"Schtroumpfs (120 Blagues) - Tome 1";"Peyo";"Bandes dessinées";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6676038524";"14/07/2025 12:05:12";"Histoires De SchtroumpfsPeyo, _";"tf 1";"14,37€";"Très bon état";"9782724239072";"";"";"Bandes dessinées";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6675988374";"14/07/2025 12:05:14";"L'apprenti SchtroumpfPeyo";"NC";"6,37€";"Satisfaisant";"9782724239089";"";"";"Bandes dessinées";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6675928718";"14/07/2025 12:05:26";"Belle-ile en mer son histoire son tourismeGallenne André";"tf 2";"14,37€";"Très bon état";"9782909599403";"";"";"Voyages";"";"";"Il y a 19 heures";"1";"FR"
"https://www.vinted.fr/items/6675528982";"14/07/2025 12:05:29";"Lot de 8 BDs "Les petits hommes" -";"Tomes 1-6-7-8-9-10-11-12 Résumé : Une étrange météorite tombe au centre de la France et provoque une étonnante épidémie : tous ceux qui la touchent se retrouvent réduits à une taille de quelques centimètres. C’est ainsi que se crée la société des Petits hommes, société paisible et très avancée sur le plan technologique, mais qui doit faire attention de ne jamais se laisser découvrir par les «Grands»...Sur Terre comme dans l’Espace, les Petits Hommes, Renaud en tête, sont toujours prêts à se jeter tête baissée dans l’aventure.NC";"51,47€";"Bon état";"9782800146843";"Les Petits Hommes - L'intégrale - Tome 1 - 1967-1970";"Seron";"Bandes dessinées";"";"";"Il y a 20 heures";"1";"FR"
"https://www.vinted.fr/items/6675464466";"14/07/2025 12:05:31";"Les Petits Hommes, tome 12, Le guêpierSeron (Dessins), Desprechins (Scénario)";"Résumé : Une étrange météorite tombe au centre de la France et provoque une étonnante épidémie : tous ceux qui la touchent se retrouvent réduits à une taille de quelques centimètres. C’est ainsi que se crée la société des Petits hommes, société paisible et très avancée sur le plan technologique, mais qui doit faire attention de ne jamais se laisser découvrir par les «Grands»...Sur Terre comme dans l’Espace, les Petits Hommes, Renaud en tête, sont toujours prêts à se jeter tête baissée dans l’aventure.M 24";"6,37€";"Très bon état";"9782800107677";"Les Petits Hommes, tome 12, Le guêpier";"Seron";"Bandes dessinées";"";"";"Il y a 20 heures";"1";"FR"
"https://www.vinted.fr/items/6675408796";"14/07/2025 12:05:42";"Les Petits Hommes Tome 11 - Dans Les Griffes Du SeigneurSeron (Dessins), Mittei";"Résumé : Une étrange météorite tombe au centre de la France et provoque une étonnante épidémie : tous ceux qui la touchent se retrouvent réduits à une taille de quelques centimètres. C’est ainsi que se crée la société des Petits hommes, société paisible et très avancée sur le plan technologique, mais qui doit faire attention de ne jamais se laisser découvrir par les «Grands»...Sur Terre comme dans l’Espace, les Petits Hommes, Renaud en tête, sont toujours prêts à se jeter tête baissée dans l’aventure.f 15";"7,27€";"Très bon état";"9782800107295";"Les Petits Hommes, tome 11, Dans les griffes du seigneur";"Seron";"Bandes dessinées";"";"";"Il y a 20 heures";"1";"FR"
"https://www.vinted.fr/items/6675361172";"14/07/2025 12:05:45";"Les Petits Hommes Tome 10 - Le Peuple Des AbyssesSeron (Dessins), Desprechins";"Résumé : Une étrange météorite tombe au centre de la France et provoque une étonnante épidémie : tous ceux qui la touchent se retrouvent réduits à une taille de quelques centimètres. C’est ainsi que se crée la société des Petits hommes, société paisible et très avancée sur le plan technologique, mais qui doit faire attention de ne jamais se laisser découvrir par les «Grands»...Sur Terre comme dans l’Espace, les Petits Hommes, Renaud en tête, sont toujours prêts à se jeter tête baissée dans l’aventure.M 16";"6,37€";"Très bon état";"9782800106809";"LE PEUPLE DES ABYSSES (Les Petits Hommes, 10) (French Edition)";"SERON MAGDA";"Bandes dessinées";"";"";"Il y a 21 heures";"1";"FR"
